Date,Open,High,Low,Close,Avg Vol,Adj Close*
14-1-2,"16,572.17","16,573.07","15,708.98","15,738.79","1,082,800","15,738.79"
13-12-2,"16,087.12","16,588.25","15,703.79","16,576.66","13,605,400","16,576.66"
13-11-1,"15,558.01","16,174.51","15,522.18","16,086.41","944,700","16,086.41"
13-10-1,"15,132.50","15,721.00","14,719.40","15,545.75","1,008,900","15,545.75"
13-9-3,"14,801.60","15,709.60","14,777.50","15,129.70","1,246,900","15,129.70"
13-8-1,"15,503.90","15,658.43","14,760.40","14,810.30","1,119,700","14,810.30"
13-7-1,"14,911.60","15,634.30","14,858.90","15,499.50","1,258,200","15,499.50"
13-6-3,"15,123.60","15,340.10","14,551.30","14,909.60","1,579,500","14,909.60"
13-5-1,"14,839.80","15,542.40","14,687.10","15,115.60","1,354,700","15,115.60"
13-4-1,"14,578.50","14,887.50","14,434.40","14,839.80","1,394,700","14,839.80"
13-3-1,"14,054.50","14,585.10","13,937.60","14,578.50","1,350,000","14,578.50"
13-2-1,"13,860.60","14,149.20","13,784.00","14,054.50","1,402,400","14,054.50"
13-1-2,"13,104.30","13,970.00","13,104.30","13,860.60","1,394,800","13,860.60"
12-12-3,"13,027.70","13,365.90","12,883.90","13,104.10","1,406,200","13,104.10"
12-11-1,"13,099.20","13,290.80","12,471.50","13,025.60","1,359,500","13,025.60"
12-10-1,"13,437.70","13,661.90","13,017.40","13,096.50","1,243,200","13,096.50"
12-9-4,"13,092.20","13,653.20","12,977.10","13,437.10","1,499,000","13,437.10"
12-8-1,"13,007.50","13,330.80","12,778.90","13,090.80","1,037,800","13,090.80"
12-7-2,"12,879.70","13,128.60","12,492.30","13,008.70","1,287,600","13,008.70"
12-6-1,"12,391.60","12,898.90","12,035.10","12,880.10","1,483,400","12,880.10"
12-5-1,"13,214.20","13,338.70","12,311.60","12,393.50","1,479,600","12,393.50"
12-4-2,"13,211.40","13,297.10","12,710.60","13,213.60","1,351,300","13,213.60"
